eventId,year,total_solves
777,2020,3833
clock,2020,6424
minx,2020,14297
pyram,2020,47937
skewb,2020,36466
sq1,2020,12639
222,2021,62637
333,2021,109320
333bf,2021,2893
333fm,2021,1061
333mbf,2021,385
333oh,2021,28679
444,2021,35555
444bf,2021,185
555,2021,16788
555bf,2021,67
666,2021,3573
777,2021,2767
clock,2021,10413
minx,2021,12121
pyram,2021,40793
skewb,2021,30059
sq1,2021,13357
222,2022,365341
333,2022,647044
333bf,2022,14690
333fm,2022,7670
333mbf,2022,2144
333oh,2022,155555
444,2022,190509
444bf,2022,1418
555,2022,94887
555bf,2022,545
666,2022,23747
777,2022,18816
clock,2022,57709
minx,2022,69493
pyram,2022,241700
skewb,2022,158940
sq1,2022,67803
222,2023,681628
333,2023,1236031
333bf,2023,25212
333fm,2023,14806
333mbf,2023,3498
333oh,2023,276707
444,2023,315727
444bf,2023,2671
555,2023,166937
555bf,2023,1109
666,2023,46289
777,2023,37010
clock,2023,142869
minx,2023,131492
pyram,2023,473735
skewb,2023,315488
sq1,2023,127962
222,2024,801879
333,2024,1372340
333bf,2024,29082
333fm,2024,20035
333mbf,2024,4080
333oh,2024,327978
444,2024,366095
444bf,2024,3066
555,2024,196625
555bf,2024,1399
666,2024,57897
777,2024,45926
clock,2024,238585
minx,2024,175328
pyram,2024,545547
skewb,2024,392789
sq1,2024,150396
222,2025,517864
333,2025,890092
333bf,2025,19635
333fm,2025,12988
333mbf,2025,3106
333oh,2025,227948
444,2025,253894
444bf,2025,2335
555,2025,149290
555bf,2025,1043
666,2025,42140
777,2025,33775
clock,2025,170567
minx,2025,130321
pyram,2025,354549
skewb,2025,253655
sq1,2025,101746
