countryId,personId,name,single_seconds
Bahrain,2022ABDU15,Abdulla Abdulghaffar,13.5
Bahrain,2024RAHI01,Bader Ali Ahmed Rahimi,13.52
Bangladesh,2023ISLA08,Mosfikul Islam,5.23
Bangladesh,2017SAHI01,Taosif Amin Sahil,5.39
Bangladesh,2022ISLA04,Md Tafsirul Islam,5.94
Bangladesh,2023NAZI02,Muntazim Billah Nazif,6.04
Bangladesh,2018FAHI02,Farhan Tanvir Fahim,6.17
Bangladesh,2023DASA02,Avirup Das,6.19
Bangladesh,2022NOBI01,Towhidun Nobi,6.23
Bangladesh,2022PATW01,Radiath Kamal Patwary,6.26
Bangladesh,2021KHAN05,Zuhair Raiyan Khan,6.34
Bangladesh,2019ULLA01,SM Abeer Ullah,6.59
Barbados,2025REEC01,Lukas Anderson Reece,12.93
Barbados,2018YEDD01,Riya Yeddula,13.58
Barbados,2025FARL01,Jeremiah E. D. Farley,15.87
Barbados,2025HIND01,Kendan Nathan Hinds,17.18
Barbados,2025ARMS01,Austin Armstrong,17.7
Barbados,2025JONE02,Rochelle Jones,23.1
Barbados,2025WILK01,Charles Wilkie,24.55
Barbados,2025SATH01,Bavin Satheeshkumar,27.45
Barbados,2025JONE03,Tyreke Jones,28.8
Barbados,2025NELS01,Jaidon Nelson,31.49
Belarus,2018DRAN01,Platon Dranchuk,5.98
Belarus,2013KAMI03,Vladislav Kaminskiy,6.36
Belarus,2013YUSH01,Pavel Yushkevich,6.37
Belarus,2017SMIR01,Vadzim Smirnou,6.46
Belarus,2023HRAB02,Garold Hrabavets,6.8
Belarus,2013MAMO03,Kirill Mamonov,6.82
Belarus,2013LOYK01,Nikita Loika,6.91
Belarus,2013ZABR01,Ilya Zabrodsky,6.94
Belarus,2017STAR07,Nikita Starodubov,7
Belarus,2018LAGU01,Yahor Lahunovich,7.08
Belgium,2021ROET01,Victor Roets,5.13
Belgium,2017STRU01,Milan Struyf,5.88
Belgium,2017DAVI21,Guillaume David,6.01
Belgium,2011VERV01,Bruno Vervoort,6.12
Belgium,2022LUTJ01,Kobe Lutjeharms,6.23
Belgium,2022SCHO02,Noah Schoeters,6.4
Belgium,2019HURL03,Lorenz Hurlet,6.63
Belgium,2018XIEB01,Bowen Xie,6.65
Belgium,2022LECL01,Medard Lecluyse,6.71
Belgium,2023VULE01,Le-Duy Vu,6.87
Belize,2008SEAR01,Anthony Brooks,5.44
Belize,2025FRIE01,Joshua John Friesen,10.03
Belize,2023PENN07,Eldon John Penner,10.62
Belize,2023SMIT22,Noe Andre Smith,11.69
Belize,2023LOPE77,Johan Lpez,12.22
Belize,2025PENN01,Jamison Penner,13.62
Belize,2023FUEN02,Jose de la Fuente,15.16
Belize,2023LONG12,Christopher Longsworth,17.7
Belize,2025PENN02,Travis Penner,18.41
Belize,2023TZOT02,Jessler Tzot,22.31
Bhutan,2025WANG29,Pema Wangchuk,13.75
Bhutan,2022DORJ01,Jigme Paldhen Dorji,15.09
Bhutan,2017TOBG01,Jigdrel Tobgay,18.33
Bhutan,2024RIGD02,Jigme Rigden,32.15
Bolivia,2015VACA01,Rodrigo Paz Vaca,5.88
Bolivia,2016CABE01,Ignacio Mita Cabezas,6.02
Bolivia,2017DELG12,Enrique Adolfo Delgado,6.29
Bolivia,2017CALL03,Dylan Aramayo Calle,6.37
Bolivia,2015MIZU01,Adhemar Mizushima,6.64
Bolivia,2016ESPI01,Axel Elias Espinoza Ribera,6.65
Bolivia,2016ROSS04,Alejandro Marze Rossel,6.66
Bolivia,2017PINT05,Josias Milan Sirpa Pinto,6.71
Bolivia,2015TERR01,Fabricio Andrs Yaez Terrazas,6.72
Bolivia,2017FLOR18,Luis Flores,6.76
Bosnia and Herzegovina,2022ALEK01,Filip Aleksi,6.8
Bosnia and Herzegovina,2017VIDO01,Mihael Vido,7.13
Bosnia and Herzegovina,2021MIKU01,Andrej Mikuli,7.94
Bosnia and Herzegovina,2017VUJN01,Nemanja Vujnovi,8.09
Bosnia and Herzegovina,2017PERU01,Aleksa Peruinovi,8.96
Bosnia and Herzegovina,2019SMAJ01,Kemal Smajlovi,9.12
Bosnia and Herzegovina,2022BABI05,Aleksandar Babi,9.22
Bosnia and Herzegovina,2014STOP01,Renato Stopic,9.44
Bosnia and Herzegovina,2017ARNA01,Belmin Arnaut,9.48
Bosnia and Herzegovina,2015PREL01,Darko Preli,9.74
Botswana,2025HAAR01,Thomas ter Haar,29.35
Brazil,2016SATO01,Caio Hideaki Sato,4.37
Brazil,2015CECC01,Vicenzo Guerino Cecchini,4.86
Brazil,2017MAND13,Francisco Moraes Mandalozzo,4.91
Brazil,2018GOME29,Frederico Canal Gomes,5.11
Brazil,2019FUJI09,Tiago Akihiro Fujita,5.24
Brazil,2022CLEM05,Samuel Bortolan Clemente,5.45
Brazil,2023ALVE12,Arthur Vinicios Medeiros Alves,5.46
Brazil,2015SILV55,Antonio Gabriel Freitas da Silva,5.58
Brazil,2023MEND17,Artur Augusto Mendes,5.64
Brazil,2016FIOR01,Giovane Rubin Fioravanti,5.69
Brunei,2024LOKT01,Ting Kah Lok,8.27
Brunei,2024ERNJ01,Emma Chan Ern-Jia,8.35
Brunei,2025FAUD01,Mohammad Dzulhusnee Haji Shamsol Iskandar Haris Faudillah,8.95
Brunei,2022RAYY02,Ashfan Rayyan,10.93
Brunei,2017AINF01,Fitri Nurul Ain,10.97
Brunei,2024AZLA01,Aqmar Arrazi Bin Azlan,40.18
Brunei,2023RASI01,Rafali Rasit,109.76
Bulgaria,2018VICH01,Ivaylo Ivaylov Vichev,5.41
Bulgaria,2015TANE02,Ivaylo Tanev,5.89
Bulgaria,2022KALE01,Kaloyan Vladimirov Kalev,6.14
Bulgaria,2022RICH11,Alexander Richetta,6.6
Bulgaria,2018ENCH01,George Enchev,6.71
Bulgaria,2019BASH06,Ilian Bashev,6.71
Bulgaria,2018TODO01,Nikolay Todorov,6.75
Bulgaria,2018TENE01,Alexander Tenev,6.9
Bulgaria,2023OVCH01,Luke Ovcharov,7.36
Bulgaria,2023KIRI03,Ivaylo Rangelov Kirilov,7.45
Cambodia,2023YOSH06,Kotaro Yoshida,6.02
Cambodia,2024PISO01,Neav Nouv Samel Panha Pisoth,7.12
Cambodia,2022SAMS01,Setha Sam,8.67
Cambodia,2019KIMC02,Te Kimchhay,8.89
Cambodia,2019VADD01,Nguon Vaddhanak,8.94
Cambodia,2024KHAY01,Te Khayhour,9.28
Cambodia,2019VANN04,Mork Vanna,9.38
Cambodia,2024SOKU01,Sarun Sokunvisoth,9.69
Cambodia,2024SOPH01,Rith Sophareach,10.42
Cambodia,2024HEAN01,Kim Mengheang,10.57
Cameroon,2023NGAN02,Johan Alex Tabeko Ngankam,17.93
Cameroon,2024TALL04,Geordy Talla,18.66
Cameroon,2024TANG28,Chris Tangpi,27.65
Canada,2017SARE03,Arhaan Sareen,4.13
Canada,2016LINB01,Brennen Lin,4.14
Canada,2016SANT08,Kyle Santucci,4.26
Canada,2017YEHM01,Morgan Yeh,4.38
Canada,2010WANG68,Bill Wang,4.62
Canada,2017WURY01,Ryan Wu,4.8
Canada,2013THOM04,Jeriel James Thomas,4.9
Canada,2017JANK02,Luke Jankowiak,5.09
Canada,2010CANT02,Antoine Cantin,5.1
Canada,2017LEEM03,Matthew Lee,5.17
Chile,2019BRUN02,Claudio Matias Cancino Bruna,3.74
Chile,2019LAND01,Agustn Mera Landa,4.24
Chile,2019GONZ39,Gustavo Ignacio Pineda Gonzalez,5.01
Chile,2015CABE01,Rodrigo Cabezas,5.28
Chile,2015CABE01,Rodrigo Lucas Pardo,5.28
Chile,2018BASA03,Jose Basaes,5.37
Chile,2015MEDE01,Felipe Medel,5.8
Chile,2022MIRA06,Gabriel Alonso Ibez Miranda,5.83
Chile,2016HENR02,Irenco Pea Henrquez,6.06
Chile,2023VALE11,Francisco Valenzuela,6.22
China,2023GENG02,Xuanyi Geng,3.05
China,2019WANY36,Yiheng Wang,3.06
China,2017XURU04,Ruihang Xu,3.24
China,2015DUYU01,Yusheng Du,3.47
China,2023DUYU01,Yufang Du,3.72
China,2024LIZH03,Zhaokun Li,3.87
China,2021ZHAN01,Bofan Zhang,3.95
China,2023YUHA01,Hansen Yu,4.02
China,2023CAOQ01,Qixian Cao,4.08
China,2023CHEN30,Zhen Chen,4.12
Colombia,2021SOTO01,Juan Miguel Saboya Soto,4.52
Colombia,2017ECHE04,Alejandro Restrepo Echeverri,5.22
Colombia,2018MART75,David Rendn Martnez,5.54
Colombia,2016GONZ52,Gabriel Santiago Velez Gonzalez,5.73
Colombia,2017POPA01,Manuel Popayn,5.78
Colombia,2023GARC18,Gabriel Muoz Garcia,5.83
Colombia,2018GONZ09,Lorenzo Gonzalez,5.93
Colombia,2011SALG01,Daniel Cano Salgado,5.95
Colombia,2022DIAZ14,Juan Sebastian Otalora Diaz,6.1
Colombia,2011CAST02,Michael Andres Castillo Lemus,6.12
Congo,2023NZOL01,David Nzolanzofou,19.38
Congo,2023KAZA01,Codell Kabamba Kazadi,25.86
Costa Rica,2019ALVA06,Daniel Josu Sand Alvarado,6.51
Costa Rica,2017LIAN32,Andrs Iras Li,6.77
Costa Rica,2017RODR51,Christian Rodrguez,6.79
Costa Rica,2017POMA02,Sebastin Herrera Pomares,7.13
Costa Rica,2017CAST45,David Herrera Castro,7.24
Costa Rica,2019MELE04,Michael Ziga Melndez,7.27
Costa Rica,2018NAVA05,Aarn Alfaro Navarro,7.55
Costa Rica,2017ARCE04,David Caldern Arce,7.56
Costa Rica,2018AGUI06,Jason Conejo Aguilar,7.66
Costa Rica,2018GONZ11,Carlos Andres Gonzaga,7.72
Cote d_Ivoire,2025CARL05,Brega Zoro Donald Carlos,11.9
Cote d_Ivoire,2025LATH01,Amari Jean-Charles Lath,13.04
Cote d_Ivoire,2007AMAN01,Etienne Amany,13.84
Cote d_Ivoire,2025ESPE01,Konan Kouadio Esprance,14.33
Cote d_Ivoire,2016KOFF01,Errol Koffi,16.47
Cote d_Ivoire,2025PARF02,Oula Deoudi Nol Parfait,17.14
Cote d_Ivoire,2025YOUS03,Dram Ben Youssouf,18.02
Cote d_Ivoire,2025AMLA01,Kevin Amlaman,20.05
Cote d_Ivoire,2025ILAN01,Apia Kouassi Karl Ilane,20.6
Cote d_Ivoire,2025LIST01,Bidio Kobenan Listowel,20.73
Croatia,2015VUJA01,David Vujasi,5.55
Croatia,2024BEDE01,Lana Bedek,5.92
Croatia,2015BELJ01,Toni Beljo,6.54
Croatia,2013VIDA03,Dominik Vidakovi,7
Croatia,2021SREC01,Jakov Srekovi,7.17
Croatia,2019MARK03,Matej Markovi,7.25
Croatia,2019KRAL01,Barbara Kralj,7.29
Croatia,2015PETR01,Andro Petrinjak,7.5
Croatia,2016CVIJ01,Lucijan Cvijetovi,7.54
Croatia,2022IVAN02,Bruno Ivani,7.58
Cuba,2022ARZO01,Daniel Orlando Valdes Arzola,7.73
Cuba,2023AVAL04,Yunier Avalo,12.21
Cuba,2024PANE02,Ceyln Guerrero Paneca,12.69
Cuba,2018BORJ02,Walter Borjas,13.51
Cuba,2015CAMP11,Gabriel Campos,19.26
Cuba,2019ORTA02,Levi Orta,21.34
Cuba,2016VALD03,Andy Valdes,23.83
Cuba,2019ASCH01,Fidel Aschkar,38.11
Cuba,2016MONZ01,Yassan Monzo,43.86
Cuba,2016GONZ10,Carla Gonzalez,96.16
Cyprus,2017ELEF02,Michael Eleftheriades,6.26
Cyprus,2020ISAI01,Panayiotis Isaia,6.92
Cyprus,2024KKAR01,Sotiris Kkaras,7.48
Cyprus,2020PROT01,Spyridon Protopapas,7.67
Cyprus,2018GREG03,Petros Gregoriades,7.88
Cyprus,2019PAPA06,Michalis Papakyriakou,7.91
Cyprus,2020FOUR01,Constantinos Fourlas,8.55
Cyprus,2024ZAKO01,Roman Zakoulov,8.66
Cyprus,2022KAPE01,Constantinos Kapelos,8.77
Cyprus,2022PAPA05,Anastasis Papadopoulos,9.12
Czech Republic,2015GROH02,Matj Grohmann,4.97
Czech Republic,2023NESI01,David Nesiba,5.01
Czech Republic,2023BASL02,Krytof Basl,5.32
Czech Republic,2023HERI02,Max Herink,5.51
Czech Republic,2014QUYN02,Tom Nguyen,5.55
Czech Republic,2022KORI01,Adam Konek,5.6
Czech Republic,2013MUAT01,Matj Mutko,5.86
Czech Republic,2019TALA02,Sam Talacko,6.04
Czech Republic,2013POHO01,Lukas Pohoelick,6.07
Czech Republic,2021GROH01,Vojtch Grohmann,6.11
Dem. Rep. Congo,2025KAHU01,Danny Kahumba,103.79
Dem. Rep. Congo,2019KAZA02,Fabrice Kazadi,112.57
Denmark,2016SHEL03,Lukas Shelley,4.42
Denmark,2013EGDA02,Martin Vdele Egdal,4.75
Denmark,2014DETL01,Rasmus Stub Detlefsen,5.03
Denmark,2021JOEN01,Birk Joench-Clausen,5.2
Denmark,2020JORG02,Daniel Heberg Jrgensen,5.22
Denmark,2022MULB02,Zacharias Mulbjerg,5.23
Denmark,2019CHRI17,Nicolas Kster Christensen,5.32
Denmark,2016KELL10,Adam Marcellus Kelly,5.51
Denmark,2017BYRN01,Magnus Sndergaard Byrne,5.66
Denmark,2017BYRN02,Mathias Sndergaard Byrne,5.72
Dominican Republic,2018PENA01,Cristian Samuel Carasco Pea,4.61
Dominican Republic,2016MERC03,Marco Jose Mercedes,7.28
Dominican Republic,2013LEES03,Sumi Lee,7.35
Dominican Republic,2016CABA07,Amaury Miguel Caballero,7.46
Dominican Republic,2019BAST03,Jesus Daniel Pache Bastardo,7.59
Dominican Republic,2013SIER01,Chardan Jose Valdez Sierra,7.73
Dominican Republic,2016MART05,Raimy Marte,8.08
Dominican Republic,2018GILE02,Emil Francisco Solano Gil,8.11
Dominican Republic,2017SANT13,Henfry De Los Santos,8.14
Dominican Republic,2023SANT79,Sebastian Francisco Santana,8.23
Ecuador,2018LUDE01,Anthony Gerard lvarez Ludea,5.61
Ecuador,2017ESTR04,Dereck Estrada,6.79
Ecuador,2021BENA01,Mateo Baruc Mero Benavides,7.25
Ecuador,2018SORI05,Alexander Vera Soria,7.33
Ecuador,2017ANDR22,Jhoan Andrade,7.51
Ecuador,2022MANA07,Sebastin Joel Herrera Manangon,7.54
Ecuador,2018RIVE09,Caleb Salcedo Rivera,7.67
Ecuador,2017SANC27,Bryan Andres Campaa Sanchez,7.69
Ecuador,2017CUES02,Luis Fernando Alds Cuestas,7.74
Ecuador,2017CHAF01,Bolivar Chafla,7.83
Egypt,2019ESKA02,Hannah Nader Eskander,6.46
